ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted
			8800	S	195500		1200007627	  2	   3,557,268.67	USD	   3,190,158.54	EUR	  0.85100		 0.89680	ZU	           0.00	-162,927.72	-162,927.72
			8800	S	195500		1200007687	  2	      29,311.17	USD	      26,315.57	EUR	  0.85100		 0.89780	ZU	           0.00	-1,371.80	-1,371.80
			8800	S	195500		1200007814	  2	     300,116.74	USD	     264,492.88	EUR	  0.85100		 0.88130	ZU	           0.00	-9,093.94	-9,093.94
			8800	S	195500		1200007831	  2	   4,921,058.87	USD	   4,317,244.95	EUR	  0.85100		 0.87730	ZU	           0.00	-129,430.51	-129,430.51
			8800	S	195500		1200007923	  2	      12,882.81	USD	      11,488.89	EUR	  0.85100		 0.89180	ZU	           0.00	-525.64	-525.64
			8800	S	195500		1200008014	  2	       2,751.27	USD	       2,443.95	EUR	  0.85100		 0.88830	ZU	           0.00	-102.62	-102.62
			8800	S	195500		1200008087	  1	-22,098,055.20	USD	-19,994,320.34	EUR	  0.85100		 0.90480	ZU	           0.00	   1,188,905.27	   1,188,905.27
			8800	S	195500		1200008087	  2	  22,098,055.20	USD	  19,994,320.34	EUR	  0.85100		 0.90480	ZU	           0.00	-1,188,905.27	-1,188,905.27
			8800	S	195500		1200008135	  1	     168,680.73	USD	     151,441.56	EUR	  0.85100		 0.89780	ZU	           0.00	-7,894.49	-7,894.49
			8800	S	195500		1200008153	  1	  22,098,055.20	USD	  19,994,320.34	EUR	  0.85100		 0.90480	ZU	           0.00	-1,188,905.27	-1,188,905.27
			8800	S	195500		1200008153	  2	-22,098,055.20	USD	-19,994,320.34	EUR	  0.85100		 0.90480	ZU	           0.00	   1,188,905.27	   1,188,905.27
			8800	S	195500		1200008153	  3	     891,097.94	USD	     806,265.42	EUR	  0.85100		 0.90480	ZU	           0.00	-47,942.28	-47,942.28
			8800	S	195500		1200008155	  1	  11,198,194.80	USD	  10,132,126.66	EUR	  0.85100		 0.90480	ZU	           0.00	-602,478.04	-602,478.04
			8800	S	195500		1200008155	  2	-11,198,194.80	USD	-10,132,126.66	EUR	  0.85100		 0.90480	ZU	           0.00	     602,478.04	     602,478.04
			8800	S	195500		1200008155	  3	     361,919.43	USD	     327,464.70	EUR	  0.85100		 0.90480	ZU	           0.00	-19,471.75	-19,471.75
			8800	S	195500		1200008216	  1	-11,198,194.80	USD	-10,132,126.66	EUR	  0.85100		 0.90480	ZU	           0.00	     602,478.04	     602,478.04
			8800	S	195500		1200008216	  2	  11,198,194.80	USD	  10,132,126.66	EUR	  0.85100		 0.90480	ZU	           0.00	-602,478.04	-602,478.04
			8800	S	195500		1200008313	  2	     412,904.19	USD	     370,416.35	EUR	  0.85100		 0.89710	ZU	           0.00	-19,035.44	-19,035.44
			8800	S	195500		1200008326	  2	   4,665,745.30	USD	   4,207,102.54	EUR	  0.85100		 0.90170	ZU	           0.00	-236,559.60	-236,559.60
